neighbourhood,property_type,room_type,beds,price,review_scores_rating,date_difference
1,0,0,1.0,145,92.05056465561094,0
1,0,1,1.0,37,92.05056465561094,0
2,0,1,1.0,28,92.05056465561094,0
2,0,0,3.0,199,92.05056465561094,2622
2,0,1,3.0,549,96.0,2622
1,0,0,1.0,149,100.0,2593
2,0,0,1.0,250,100.0,2575
1,0,1,1.0,90,94.0,2572
2,0,0,2.0,270,90.0,2567
2,0,0,2.0,290,96.0,2567
1,0,0,2.0,170,98.0,2560
2,0,1,2.0,59,93.0,2550
2,0,1,2.0,49,91.0,2550
1,10,1,1.0,68,90.88325849903784,2549
2,0,0,1.0,285,97.0,2547
1,0,1,1.0,75,95.0,2546
2,0,1,1.0,145,99.0,2542
3,0,1,1.0,100,93.0,2531
2,0,0,3.0,150,85.0,2530
2,0,0,3.0,700,92.05056465561094,2530
2,0,1,1.0,125,86.0,2530
2,0,1,1.0,175,92.05056465561094,2530
3,10,1,1.0,90,90.88325849903784,2524
1,0,1,1.0,40,100.0,2516
3,0,0,1.0,89,93.0,2512
3,0,0,1.0,95,94.0,2512
3,0,0,2.0,99,100.0,2512
2,0,0,1.0,149,93.0,2497
2,0,0,4.0,499,80.0,2497
2,0,1,4.0,99,92.05056465561094,2497
2,0,2,1.0,99,92.05056465561094,2497
2,0,2,1.0,99,92.05056465561094,2497
1,0,1,1.0,125,94.0,2486
2,0,0,2.0,170,88.0,2483
2,0,1,1.0,120,92.0,2483
2,0,1,1.0,79,89.0,2476
2,0,0,3.0,125,97.0,2474
1,0,0,1.0,110,92.0,2464
1,14,1,3.0,89,85.0,2458
1,0,0,3.0,180,93.0,2434
1,0,0,3.0,180,95.0,2434
2,0,0,1.0,143,82.0,2432
2,0,0,2.0,230,89.0,2432
2,0,0,5.0,350,86.0,2432
3,0,0,2.0,135,86.0,2432
2,0,1,1.0,85,87.0,2432
2,0,1,1.0,85,91.0,2432
2,0,1,1.0,85,92.0,2432
2,0,1,1.0,60,81.0,2432
2,0,1,2.0,70,82.0,2432
2,1,1,1.0,55,86.0,2432
3,0,1,1.0,44,100.0,2429
2,0,0,1.0,200,87.0,2408
2,0,0,2.0,175,95.0,2405
2,0,0,1.0,250,100.0,2405
2,0,0,2.0,165,96.0,2404
1,0,0,1.0,115,88.0,2401
2,0,0,1.0,145,95.0,2401
2,0,0,1.0,200,86.0,2401
1,13,1,2.0,74,80.0,2401
1,13,1,2.0,74,93.50761421319795,2401
1,13,1,1.0,84,100.0,2401
2,0,1,2.0,125,100.0,2401
2,0,0,1.0,129,92.0,2400
1,0,1,1.0,50,90.0,2400
1,0,1,1.0,50,93.0,2400
1,0,0,3.0,185,82.0,2399
1,0,0,3.0,185,85.0,2399
1,0,0,3.0,150,76.0,2399
2,0,0,1.0,80,80.0,2397
2,0,0,1.0,190,89.0,2397
2,0,0,3.0,190,80.0,2397
2,0,0,2.0,190,80.0,2397
2,0,0,2.0,175,80.0,2397
2,0,0,2.0,190,93.0,2397
2,0,0,1.0,140,94.0,2396
2,0,0,1.0,140,95.0,2396
2,0,1,1.0,75,97.0,2396
2,0,2,1.0,45,95.0,2396
2,0,2,1.0,45,95.0,2396
1,0,0,1.0,135,95.0,2394
2,0,0,1.0,100,86.0,2394
2,0,0,1.0,145,91.0,2394
2,0,0,1.0,135,94.0,2393
2,0,0,1.0,200,94.0,2392
1,0,1,1.0,65,100.0,2388
1,0,0,1.0,165,100.0,2387
2,0,0,1.0,145,94.0,2387
2,0,1,1.0,135,97.0,2387
2,0,0,2.0,225,89.0,2386
2,0,0,3.0,250,78.0,2386
2,0,0,3.0,250,85.0,2386
2,13,0,2.0,600,100.0,2386
1,0,0,1.0,145,90.0,2384
1,0,0,3.0,149,92.0,2384
1,0,0,1.0,150,93.0,2384
2,0,0,1.0,200,98.0,2381
1,0,0,1.0,120,92.05056465561094,2380
1,0,0,1.0,150,95.0,2380
2,0,0,1.0,175,100.0,2380
2,0,0,2.0,109,91.0,2378
2,8,0,6.0,1990,100.0,2376
2,0,2,1.0,80,100.0,2376
2,0,1,1.0,73,85.0,2372
1,0,0,3.0,135,97.0,2365
1,10,1,2.0,89,96.0,2365
1,10,1,2.0,89,92.0,2365
1,0,0,2.0,250,96.0,2361
3,0,0,1.0,99,92.05056465561094,2361
1,0,0,2.0,250,93.0,2354
1,0,0,2.0,250,94.0,2354
1,10,0,2.0,250,98.0,2354
1,0,0,2.0,240,100.0,2353
1,0,0,1.0,115,92.05056465561094,2350
1,0,1,1.0,72,92.05056465561094,2350
1,0,0,1.0,165,91.0,2349
1,0,0,1.0,90,90.0,2349
1,0,0,1.0,105,88.0,2349
1,0,0,2.0,155,88.0,2349
1,0,0,2.0,160,94.0,2349
3,0,1,1.0,150,92.05056465561094,2345
1,0,1,1.0,89,94.0,2341
1,0,1,1.0,99,93.0,2341
0,0,1,3.0,42,81.0,2340
0,0,1,3.0,42,87.0,2340
2,0,1,1.0,132,88.0,2340
2,0,1,1.0,117,90.0,2340
1,0,0,1.0,135,92.0,2336
2,0,0,1.0,125,91.0,2336
2,0,0,3.0,200,87.0,2336
2,0,0,1.0,250,92.0,2334
2,1,0,2.0,295,83.0,2332
2,0,0,1.0,280,100.0,2330
2,0,1,1.0,75,85.0,2328
2,0,0,3.0,150,66.0,2326
1,0,0,3.0,125,100.0,2325
1,0,0,2.0,230,100.0,2324
1,0,1,1.0,110,98.0,2324
1,0,0,3.0,159,84.0,2316
2,0,0,1.0,160,80.0,2316
2,0,0,3.0,107,98.0,2316
1,0,1,1.0,50,80.0,2315
4,10,1,2.0,69,97.0,2313
2,0,0,1.0,110,83.0,2310
1,0,0,3.0,175,92.05056465561094,2308
1,0,0,1.0,125,93.0,2302
2,0,1,2.0,95,96.0,2302
2,0,1,2.0,95,95.0,2302
2,13,0,2.0,135,91.0,2301
2,0,0,1.0,100,96.0,2299
1,10,0,2.0,200,95.0,2297
1,10,1,1.0,239,97.0,2297
2,0,0,1.0,220,97.0,2296
1,0,0,3.0,199,100.0,2295
2,0,0,3.0,399,100.0,2295
2,0,0,2.0,130,86.0,2294
2,0,1,1.0,70,92.05056465561094,2294
