host_id,host_since,name,neighbourhood,property_type,room_type,beds,number_of_reviews,price,review_scores_rating,date_difference,year
5162530,2015-08-31,1 Bedroom in Prime Williamsburg,Brooklyn,Apartment,Entire home/apt,1.0,0,145,92.05056465561094,0 days,2015
33134899,2015-08-31,"Sunny, Private room in Bushwick",Brooklyn,Apartment,Private room,1.0,1,37,92.05056465561094,0 days,2015
39608626,2015-08-31,Sunny Room in Harlem,Manhattan,Apartment,Private room,1.0,1,28,92.05056465561094,0 days,2015
500,2008-06-26,Gorgeous 1 BR with Private Balcony,Manhattan,Apartment,Entire home/apt,3.0,0,199,92.05056465561094,2622 days,2008
500,2008-06-26,Trendy Times Square Loft,Manhattan,Apartment,Private room,3.0,39,549,96.0,2622 days,2008
1039,2008-07-25,Big Greenpoint 1BD w/ Skyline View,Brooklyn,Apartment,Entire home/apt,1.0,4,149,100.0,2593 days,2008
1783,2008-08-12,Amazing Also,Manhattan,Apartment,Entire home/apt,1.0,9,250,100.0,2575 days,2008
2078,2008-08-15,"Colorful, quiet, & near the subway!",Brooklyn,Apartment,Private room,1.0,80,90,94.0,2572 days,2008
2339,2008-08-20,East Village Cocoon: 2 Bedroom Flat,Manhattan,Apartment,Entire home/apt,2.0,95,270,90.0,2567 days,2008
2339,2008-08-20,Lovely 2 Bedroom East Village Nest,Manhattan,Apartment,Entire home/apt,2.0,23,290,96.0,2567 days,2008
2571,2008-08-27,THE PUTNAM,Brooklyn,Apartment,Entire home/apt,2.0,14,170,98.0,2560 days,2008
2758,2008-09-06,Stay at Chez Chic budget room #1,Manhattan,Apartment,Private room,2.0,120,59,93.0,2550 days,2008
2758,2008-09-06,Stay at Chez Chic budget Room #2,Manhattan,Apartment,Private room,2.0,81,49,91.0,2550 days,2008
2787,2008-09-07,Renovated and spacious townhome,Brooklyn,House,Private room,1.0,0,68,90.88325849903785,2549 days,2008
2845,2008-09-09,Midtown Castle,Manhattan,Apartment,Entire home/apt,1.0,17,285,97.0,2547 days,2008
2881,2008-09-10,Newly renovated historic brownstone,Brooklyn,Apartment,Private room,1.0,32,75,95.0,2546 days,2008
2965,2008-09-14,Large Bedroom in 3-bedroom Apt.,Manhattan,Apartment,Private room,1.0,52,145,99.0,2542 days,2008
3211,2008-09-25,"Elegant NYC, 10mins to Manhattan!",Queens,Apartment,Private room,1.0,3,100,93.0,2531 days,2008
3227,2008-09-26,"Priv Apt,Garden,BBQ,A/C,BigTV,for 4",Manhattan,Apartment,Entire home/apt,3.0,171,150,85.0,2530 days,2008
3226,2008-09-26,Great 3 Bed Apt Tribeca / Soho,Manhattan,Apartment,Entire home/apt,3.0,0,700,92.05056465561094,2530 days,2008
3226,2008-09-26,Huge Room Soho LOFT off WBroadway,Manhattan,Apartment,Private room,1.0,9,125,86.0,2530 days,2008
3226,2008-09-26,Master Room Soho LOFT off WBroadway,Manhattan,Apartment,Private room,1.0,0,175,92.05056465561094,2530 days,2008
3415,2008-10-02,Beautiful Furnished Master Bedroom,Queens,House,Private room,1.0,0,90,90.88325849903785,2524 days,2008
3563,2008-10-10,16' x 11' Furnished BR with Balcony,Brooklyn,Apartment,Private room,1.0,1,40,100.0,2516 days,2008
3647,2008-10-14,Conveniently Queens with Two Rooms,Queens,Apartment,Entire home/apt,1.0,4,89,93.0,2512 days,2008
3647,2008-10-14,Quality Cozy Studio Next to Subway,Queens,Apartment,Entire home/apt,1.0,16,95,94.0,2512 days,2008
3647,2008-10-14,Queens Quality Convenient Apartment,Queens,Apartment,Entire home/apt,2.0,9,99,100.0,2512 days,2008
3867,2008-10-29,1 Bedroom Apartment in Chinatown!,Manhattan,Apartment,Entire home/apt,1.0,19,149,93.0,2497 days,2008
3867,2008-10-29,3 bedroom apartment in Chinatown!,Manhattan,Apartment,Entire home/apt,4.0,2,499,80.0,2497 days,2008
3867,2008-10-29,Private bedroom in spacious loft!,Manhattan,Apartment,Private room,4.0,0,99,92.05056465561094,2497 days,2008
3867,2008-10-29,Share a bedroom in a huge Apartment,Manhattan,Apartment,Shared room,1.0,0,99,92.05056465561094,2497 days,2008
3867,2008-10-29,Share a bedroom in a huge Apartment,Manhattan,Apartment,Shared room,1.0,0,99,92.05056465561094,2497 days,2008
4177,2008-11-09,++ Brooklyn Penthouse Guestroom ++,Brooklyn,Apartment,Private room,1.0,16,125,94.0,2486 days,2008
4267,2008-11-12,Robin's Nest on the fabulous UWS,Manhattan,Apartment,Entire home/apt,2.0,28,170,88.0,2483 days,2008
4267,2008-11-12,Airy Room on the fabulous UWS,Manhattan,Apartment,Private room,1.0,62,120,92.0,2483 days,2008
4396,2008-11-19,"Large Room, Amazing E. Village Apt",Manhattan,Apartment,Private room,1.0,23,79,89.0,2476 days,2008
4488,2008-11-21,Sunny & Bright Harlem Home,Manhattan,Apartment,Entire home/apt,3.0,6,125,97.0,2474 days,2008
4732,2008-12-01,A home in the heart of Park Slope,Brooklyn,Apartment,Entire home/apt,1.0,5,110,92.0,2464 days,2008
4869,2008-12-07,Whole B'stone flr w priv kit & bat,Brooklyn,Other,Private room,3.0,14,89,85.0,2458 days,2008
5871,2008-12-31,Bergen's Best Short Stay 2!,Brooklyn,Apartment,Entire home/apt,3.0,12,180,93.0,2434 days,2008
5871,2008-12-31,Bergen's Best!,Brooklyn,Apartment,Entire home/apt,3.0,5,180,95.0,2434 days,2008
5926,2009-01-02,Charming Central Park Hideaway,Manhattan,Apartment,Entire home/apt,1.0,23,143,82.0,2432 days,2009
5926,2009-01-02,NYC 2-Bed Apt Mins to Times Square,Manhattan,Apartment,Entire home/apt,2.0,28,230,89.0,2432 days,2009
5926,2009-01-02,Beautiful Apt with Park Views,Manhattan,Apartment,Entire home/apt,5.0,40,350,86.0,2432 days,2009
5940,2009-01-02,Comfy 2BR Apt 20 mins to Midtown,Queens,Apartment,Entire home/apt,2.0,47,135,86.0,2432 days,2009
5926,2009-01-02,Beautiful Room 1 with Park Views,Manhattan,Apartment,Private room,1.0,9,85,87.0,2432 days,2009
5926,2009-01-02,Beautiful Room 2 with Park Views,Manhattan,Apartment,Private room,1.0,13,85,91.0,2432 days,2009
5926,2009-01-02,Beautiful Room 3 with Park Views,Manhattan,Apartment,Private room,1.0,14,85,92.0,2432 days,2009
5926,2009-01-02,Nice Apt Near Columbia University 2,Manhattan,Apartment,Private room,1.0,35,60,81.0,2432 days,2009
5926,2009-01-02,Nice Apt Near Columbia University 3,Manhattan,Apartment,Private room,2.0,34,70,82.0,2432 days,2009
5926,2009-01-02,Nice  Apt Near Columbia University,Manhattan,Bed & Breakfast,Private room,1.0,68,55,86.0,2432 days,2009
6041,2009-01-05,Beautiful Apt. In Astoria,Queens,Apartment,Private room,1.0,4,44,100.0,2429 days,2009
7118,2009-01-26,PERFECT location! Contact me NOW!,Manhattan,Apartment,Entire home/apt,1.0,14,200,87.0,2408 days,2009
7222,2009-01-29,SPACIOUS ARTY 1BR NOHO / E. VILLAGE,Manhattan,Apartment,Entire home/apt,2.0,42,175,95.0,2405 days,2009
7209,2009-01-29,Next to Empire State building,Manhattan,Apartment,Entire home/apt,1.0,9,250,100.0,2405 days,2009
7230,2009-01-30,"Luxury Building, big 1BR - 90th",Manhattan,Apartment,Entire home/apt,2.0,7,165,96.0,2404 days,2009
7323,2009-02-02,CHEZ LEO Clinton Hill Ft. Greene,Brooklyn,Apartment,Entire home/apt,1.0,13,115,88.0,2401 days,2009
7299,2009-02-02,"Downtown calm, convenience & space",Manhattan,Apartment,Entire home/apt,1.0,16,145,95.0,2401 days,2009
7322,2009-02-02,Large & Cozy Midtown East 1 BR Apt,Manhattan,Apartment,Entire home/apt,1.0,47,200,86.0,2401 days,2009
7351,2009-02-02,2 Floor Loft room in Artist Studio,Brooklyn,Loft,Private room,2.0,3,74,80.0,2401 days,2009
7351,2009-02-02,Spacious Loft Room in Artist Studio,Brooklyn,Loft,Private room,2.0,0,74,93.50761421319797,2401 days,2009
7351,2009-02-02,Spacious room in Huge artist Loft,Brooklyn,Loft,Private room,1.0,2,84,100.0,2401 days,2009
7338,2009-02-02,East Vil  1br in 2br apt + balcony,Manhattan,Apartment,Private room,2.0,3,125,100.0,2401 days,2009
7386,2009-02-03,Quiet Slice of Manhattan,Manhattan,Apartment,Entire home/apt,1.0,42,129,92.0,2400 days,2009
7356,2009-02-03,BlissArtsSpace!,Brooklyn,Apartment,Private room,1.0,41,50,90.0,2400 days,2009
7356,2009-02-03,Private Bliss Art Space 2,Brooklyn,Apartment,Private room,1.0,52,50,93.0,2400 days,2009
7414,2009-02-04,Historic Fort Greene - Red Rooster,Brooklyn,Apartment,Entire home/apt,3.0,15,185,82.0,2399 days,2009
7414,2009-02-04,Historic Fort Greene-Deco on Greene,Brooklyn,Apartment,Entire home/apt,3.0,21,185,85.0,2399 days,2009
7414,2009-02-04,Skylight on Greene,Brooklyn,Apartment,Entire home/apt,3.0,6,150,76.0,2399 days,2009
7498,2009-02-06,Your own studio+patio no roommates,Manhattan,Apartment,Entire home/apt,1.0,1,80,80.0,2397 days,2009
7510,2009-02-06,Big Lovely Chelsea Studio! Sleeps 5,Manhattan,Apartment,Entire home/apt,1.0,8,190,89.0,2397 days,2009
7510,2009-02-06,Grande Super Large APT !!!,Manhattan,Apartment,Entire home/apt,3.0,10,190,80.0,2397 days,2009
7510,2009-02-06,Great Apartment with PATIO!!,Manhattan,Apartment,Entire home/apt,2.0,1,190,80.0,2397 days,2009
7510,2009-02-06,Super Large APT,Manhattan,Apartment,Entire home/apt,2.0,29,175,80.0,2397 days,2009
7510,2009-02-06,HUGE and SUNNY one bedroom!,Manhattan,Apartment,Entire home/apt,2.0,29,190,93.0,2397 days,2009
7549,2009-02-07,Cute & Cozy Lower East Side 1 bdrm,Manhattan,Apartment,Entire home/apt,1.0,112,140,94.0,2396 days,2009
7549,2009-02-07,"Cute,Cozy Lower East Side 1bdrm",Manhattan,Apartment,Entire home/apt,1.0,4,140,95.0,2396 days,2009
7549,2009-02-07,LowerEastSide apt share shortterm 2,Manhattan,Apartment,Private room,1.0,25,75,97.0,2396 days,2009
7549,2009-02-07,LowerEastSide apt share shortterm 1,Manhattan,Apartment,Shared room,1.0,132,45,95.0,2396 days,2009
7549,2009-02-07,LowerEastSide apt share shortterm 3,Manhattan,Apartment,Shared room,1.0,17,45,95.0,2396 days,2009
7611,2009-02-09,Artist's Loft with indoor Hammock!,Brooklyn,Apartment,Entire home/apt,1.0,51,135,95.0,2394 days,2009
7626,2009-02-09,L.E.S. Must See!!,Manhattan,Apartment,Entire home/apt,1.0,156,100,86.0,2394 days,2009
7612,2009-02-09,Cute Cozy Studio in Manhattan,Manhattan,Apartment,Entire home/apt,1.0,29,145,91.0,2394 days,2009
7702,2009-02-10,Beautiful 1br on Upper West Side,Manhattan,Apartment,Entire home/apt,1.0,30,135,94.0,2393 days,2009
7740,2009-02-11,Cozy Girly Studio; Upper West Side,Manhattan,Apartment,Entire home/apt,1.0,98,200,94.0,2392 days,2009
7949,2009-02-15,Creative Charm in Brooklyn,Brooklyn,Apartment,Private room,1.0,4,65,100.0,2388 days,2009
7999,2009-02-16,Sunny Large 1 Bedroom w/ balconies!,Brooklyn,Apartment,Entire home/apt,1.0,1,165,100.0,2387 days,2009
7987,2009-02-16,Upper West Side-Unique One Bedroom,Manhattan,Apartment,Entire home/apt,1.0,24,145,94.0,2387 days,2009
7989,2009-02-16,Central Manhattan/near Broadway,Manhattan,Apartment,Private room,1.0,74,135,97.0,2387 days,2009
8057,2009-02-17,GREAT NEW LOWER EAST SIDE/ SOHO APT,Manhattan,Apartment,Entire home/apt,2.0,20,225,89.0,2386 days,2009
8057,2009-02-17,HUGE 2 BEDROOM LOFT NOHO/EAST VILL.,Manhattan,Apartment,Entire home/apt,3.0,32,250,78.0,2386 days,2009
8057,2009-02-17,Ideal Charming Large W Village Apt!,Manhattan,Apartment,Entire home/apt,3.0,32,250,85.0,2386 days,2009
8057,2009-02-17,HUGE MODERN LUXURY-2bed/2bath+patio,Manhattan,Loft,Entire home/apt,2.0,5,600,100.0,2386 days,2009
8178,2009-02-19,Location! Location! Location!,Brooklyn,Apartment,Entire home/apt,1.0,188,145,90.0,2384 days,2009
8178,2009-02-19,Sunny Beautiful Sublet All Yours!!!,Brooklyn,Apartment,Entire home/apt,3.0,221,149,92.0,2384 days,2009
